"var","rho_pre_mean","rho_pre_sum","rho_train","rho_test","n"
"emp.4852",0.552991912651286,0.552991912651286,0.948499294818316,0.939772105778788,53
"emp.3159",0.527673969181819,0.527673969181819,0.940525522827246,0.92697219121199,56
"emp.10",0.77852381291874,0.77852381291874,0.923802994261611,0.925455485269622,15205
"emp.4461",0.762117685200463,0.762117685200463,0.905701714457175,0.910665119322407,11179
"emp.446",0.762117685200463,0.762117685200463,0.907482701444694,0.906637550326283,11179
"emp.6212",0.702014396213321,0.702014396213321,0.902096743216777,0.899234608340215,10493
"emp.5221",0.725262535327742,0.725262535327742,0.900353036668311,0.886347319827756,10871
"emp.491",0.719537264892878,0.719537264892878,0.877280447674921,0.883906012283059,15179
"emp.423",0.719173483731298,0.719173483731298,0.878701515699384,0.881735634569581,10953
"emp.5411",0.729990212241292,0.729990212241292,0.885743703881372,0.881440697466365,12207
"emp.4911",0.719537264892878,0.719537264892878,0.878734356052767,0.879953136855456,15179
"emp.4411",0.72872915432601,0.72872915432601,0.889683057437844,0.87919578652868,8490
"emp.1021",0.715196855710632,0.715196855710632,0.869038682789076,0.87905302320842,15195
"emp.4431",0.71255637089565,0.71255637089565,0.875958514815319,0.878323788417826,7176
"emp.5251",0.0481056196155985,0.0481056196155985,0.853471789164736,0.87569162500168,79
"emp.443",0.71255637089565,0.71255637089565,0.877621206956813,0.874426745978488,7176
"emp.4441",0.709845939097319,0.709845939097319,0.886397915150995,0.874359277087059,7743
"emp.42",0.73706099053184,0.73706099053184,0.875520906248947,0.870456760181056,11713
"emp.2382",0.741847781743758,0.741847781743758,0.880882688404639,0.870321515109434,12200
"emp.444",0.691609554738144,0.691609554738144,0.876873566426356,0.869604025141843,12522
"emp.5171",0.741110856455017,0.741110856455017,0.855869360481378,0.869421692640179,3631
"emp.238",0.721208034409794,0.721208034409794,0.870506667727973,0.867326867207792,13172
"emp.8121",0.720434274499744,0.720434274499744,0.856348177868931,0.866909042359526,7800
"emp.6213",0.696329121245689,0.696329121245689,0.868498225008075,0.866353194713797,10331
"emp.5242",0.752234052610408,0.752234052610408,0.858052334837604,0.865365656400835,8089
"emp.532",0.678765950876168,0.678765950876168,0.849892086465458,0.862615369055884,6480
"emp.517",0.724144747102096,0.724144747102096,0.856721145735609,0.861244569786387,6651
"emp.6231",0.721164594047764,0.721164594047764,0.851469090828592,0.857288997053388,5078
"emp.5313",0.695594296247761,0.695594296247761,0.840198930857509,0.857208854531814,6116
"emp.4869",0.478757411611873,0.478757411611873,0.879063138089394,0.854655623724879,51
"emp.4531",0.713517238081815,0.713517238081815,0.844440608267174,0.852093791129931,4448
"emp.447",0.602445728672247,0.602445728672247,0.849317048826783,0.847312375562796,13919
"emp.453",0.689121821199091,0.689121821199091,0.841782756767734,0.84614942094997,11125
"emp.5312",0.681228821465629,0.681228821465629,0.835984072402479,0.845073334129101,7076
"emp.4529",0.687706193384093,0.687706193384093,0.823470212521598,0.842895582848842,6300
"emp.425",0.727558922819,0.727558922819,0.84432903349815,0.841641535430416,7547
"emp.4471",0.602445728672247,0.602445728672247,0.851696465888345,0.841364926270417,13919
"emp.448",0.692284294934946,0.692284294934946,0.851160758454177,0.839961333943062,9023
"emp.5311",0.674503103480066,0.674503103480066,0.840690045094253,0.839455313788307,6684
"emp.102",0.658293995665958,0.658293995665958,0.834047088692283,0.838384368213517,15194
"emp.4251",0.727558922819,0.727558922819,0.846084914664747,0.837351959993927,7547
"emp.4481",0.700010588014296,0.700010588014296,0.838819702044477,0.834943661663184,6662
"emp.3131",-0.536415051323135,-0.536415051323135,0.914906213975361,0.834795478544399,79
"emp.4421",0.633881213325643,0.633881213325643,0.841741769825631,0.833842733315363,4855
"emp.4532",0.670240730159327,0.670240730159327,0.832092838328941,0.833013560344635,5849
"emp.5321",0.640134962344053,0.640134962344053,0.844020119076181,0.832469520525317,3172
"emp.236",0.71233621309156,0.71233621309156,0.845130333459444,0.832440341780272,9884
"emp.2383",0.690162220176721,0.690162220176721,0.844586497178676,0.831042165762373,8351
"emp.2361",0.678297421145496,0.678297421145496,0.819855086520595,0.827691838222954,8751
"emp.4236",0.65881817476355,0.65881817476355,0.824721386963746,0.827032116236287,3966
"emp.4539",0.667818892813894,0.667818892813894,0.8245567195259,0.825245959381686,7054
"emp.424",0.678186270138386,0.678186270138386,0.817668944772715,0.824592433741265,11166
"emp.6111",0.707939480635989,0.707939480635989,0.782929209218606,0.823145039900754,5459
"emp.6215",0.640366733213237,0.640366733213237,0.797115292883539,0.822888335669228,2724
"emp.5616",0.683262891110749,0.683262891110749,0.827274675164679,0.82249258037911,4176
"emp.2381",0.693989855527009,0.693989855527009,0.823941286117402,0.820472289395727,9428
"emp.4234",0.674028104177039,0.674028104177039,0.831786331219447,0.819661239475375,4108
"emp.4483",0.622772817855386,0.622772817855386,0.8326426528159,0.819364706594332,3873
"emp.5223",0.64787194849509,0.64787194849509,0.81003075405733,0.813911339637491,3555
"emp.4237",0.636251633140416,0.636251633140416,0.82465942634595,0.81278969594559,4303
"emp.5322",0.643025325991062,0.643025325991062,0.824132726024944,0.811239400700433,5197
"emp.523",0.697575826847538,0.697575826847538,0.825806619925352,0.810741031270804,5195
"emp.4239",0.66900982250364,0.66900982250364,0.806600965585217,0.808385025729172,5727
"emp.2362",0.675833159888135,0.675833159888135,0.808013135652986,0.806744095941829,7163
"emp.4482",0.62902951796732,0.62902951796732,0.800232814395036,0.806415247728946,3797
"emp.531",0.669206653527633,0.669206653527633,0.824088715063598,0.80638651080665,6127
"emp.551",0.698291301873694,0.698291301873694,0.79036778290256,0.803163150685542,6121
"emp.5231",0.673310424609289,0.673310424609289,0.822659728092439,0.80284336368935,3205
"emp.53",0.681945332502617,0.681945332502617,0.826065368101659,0.801790077245242,8446
"emp.55",0.698291301873694,0.698291301873694,0.791183794080467,0.801266877277643,6121
"emp.8123",0.646042927256921,0.646042927256921,0.809204128650304,0.800609360829469,5084
"emp.512",0.645334676272714,0.645334676272714,0.779864903299149,0.800191198281898,2356
"emp.4533",0.649958592361798,0.649958592361798,0.790075011512471,0.799728310649482,4328
"emp.6216",0.658428681436666,0.658428681436666,0.787310184570816,0.799262288289803,6002
"emp.8114",0.599241811405092,0.599241811405092,0.806415140930778,0.797975711812702,3570
"emp.5511",0.698291301873694,0.698291301873694,0.792653965269965,0.797801843497353,6121
"emp.1142",0.0404752835683094,0.0404752835683094,0.861473335085338,0.797233562051959,60
"emp.5151",0.669462043670452,0.669462043670452,0.765550447734931,0.794350680681241,1517
"emp.515",0.649613447829003,0.649613447829003,0.753204673645152,0.794345572526551,2564
"emp.8112",0.589846621508612,0.589846621508612,0.778388154980338,0.79156855978894,2999
"emp.8129",0.682867794466842,0.682867794466842,0.820313536521552,0.791401186733053,3897
"emp.4244",0.647706723291305,0.647706723291305,0.777784976737749,0.788126590322579,5407
"emp.2213",0.680608850267475,0.680608850267475,0.765149664535103,0.787164677914448,2332
"emp.2212",0.690809520919348,0.690809520919348,0.795843074548464,0.787103246220158,370
"emp.2389",0.652336379402039,0.652336379402039,0.796813047400286,0.786174743625164,10047
"emp.5619",0.668321410747477,0.668321410747477,0.775493478406979,0.786073347667938,3562
"emp.5412",0.628820545681252,0.628820545681252,0.780268383043731,0.785100833331653,10762
"emp.4452",0.62901522106565,0.62901522106565,0.793749669810924,0.784486642372511,4011
"emp.6233",0.565991459715877,0.565991459715877,0.785432646369106,0.783256306281918,4515
"emp.484",0.637253202972826,0.637253202972826,0.778992190973098,0.782018319094436,11975
"emp.811",0.626591643862021,0.626591643862021,0.74685147204199,0.781453213087932,11454
"emp.5614",0.589864383600647,0.589864383600647,0.778450687107604,0.778134391318097,4338
"emp.5121",0.668939822104208,0.668939822104208,0.790135571405607,0.777202499695937,1494
"emp.492",0.616045412239037,0.616045412239037,0.785230157986683,0.774376197362747,3371
"emp.4231",0.611777380904667,0.611777380904667,0.768430083298963,0.772749694409258,4964
"emp.441",0.621370052479106,0.621370052479106,0.771123468775673,0.772720437891783,13058
"emp.5111",0.710410287444282,0.710410287444282,0.796720365733702,0.77264629649269,2835
"emp.6242",0.677291891971227,0.677291891971227,0.757911285536851,0.771939082457392,2115
"emp.4453",0.674137489150618,0.674137489150618,0.774696081784928,0.770716493399019,3943
"emp.5416",0.651926283247908,0.651926283247908,0.771488182912317,0.769233154219564,8430
"emp.5239",0.622197038975744,0.622197038975744,0.774795951337466,0.768623210420191,3104
"emp.5414",0.644028912309878,0.644028912309878,0.80483046208562,0.766391740640711,2811
"emp.4233",0.601207335529898,0.601207335529898,0.783258334796561,0.766259440001958,3765
"emp.6244",0.647435160271835,0.647435160271835,0.770340377789224,0.765766289821118,7791
"emp.8139",0.643879628099874,0.643879628099874,0.777068120389964,0.765274500928846,6600
"emp.4884",0.573265331998924,0.573265331998924,0.744999886781553,0.764794965180114,2523
"emp.4238",0.627202963234639,0.627202963234639,0.777203125111578,0.764377316406691,9015
"emp.8111",0.613480718749892,0.613480718749892,0.744466159595564,0.764279784968816,9240
"emp.7224",0.676019995532383,0.676019995532383,0.789442376655371,0.763157428612219,4484
"emp.8141",0.614800290362872,0.614800290362872,0.74750076385718,0.759448942158248,9929
"emp.454",0.62793261132841,0.62793261132841,0.753101382621837,0.758028275234766,7251
"emp.3361",0.491835455703434,0.491835455703434,0.932447667799893,0.75746860341855,51
"emp.814",0.614800290362872,0.614800290362872,0.749203961295229,0.756741988006301,9929
"emp.2373",0.63589329555371,0.63589329555371,0.737706526436876,0.754025105829382,1940
"emp.7223",0.620077783555275,0.620077783555275,0.744253181257396,0.750334036890159,4002
"emp.6219",0.618086398092198,0.618086398092198,0.755321816223027,0.749633949682941,2416
"emp.5617",0.640238797033629,0.640238797033629,0.752267508642161,0.748695795725723,8063
"emp.5611",0.602332679788571,0.602332679788571,0.747624843153491,0.748461313990695,4750
"emp.4841",0.63164537447919,0.63164537447919,0.748209142571146,0.744925692116673,9465
"emp.4241",0.596183271159021,0.596183271159021,0.754326117427368,0.742622225898285,1942
"emp.2121",-0.38326822774709,-0.38326822774709,0.689610056388239,0.740706794680959,176
"emp.4854",0.581170617371384,0.581170617371384,0.701122208811599,0.739121774451626,1139
"emp.511",0.653187291656051,0.653187291656051,0.776703158065246,0.737998611871675,4668
"emp.5629",0.648363777683687,0.648363777683687,0.762904701965656,0.737962257765283,2358
"emp.4921",0.593782962386204,0.593782962386204,0.739595718461671,0.737707156549201,1847
"emp.5613",0.626057181400795,0.626057181400795,0.742899840838219,0.735792740517899,4493
"emp.4413",0.621945021132648,0.621945021132648,0.744443414434624,0.734295030659502,8028
"emp.442",0.641747271409626,0.641747271409626,0.765541137135147,0.73259596019779,7824
"emp.3273",0.540440630525696,0.540440630525696,0.725176888959841,0.731144912052998,2933
"emp.623",0.484733012701091,0.484733012701091,0.718706867270941,0.730619640581591,6663
"emp.6114",0.5847839047158,0.5847839047158,0.708696657952611,0.730302083408361,1310
